"id","hor","rec","cnt","pn"
"1001","2;3-bis(3'-hydroxybenzyl)butyrolactone","Q9YHT3;P49884;P06212;Q91424;P57717;Q53AD2;Q9TV98;P03372;Q9YHZ7;P49886;Q9QZJ5;P57753;P19785;P16058;P50240;Q9YH33;P50241;O42132;Q29040;P06211;P50242;P49885;Q9PVZ9;Q91250;P81559;O19009;O46402;Q5XXP1;Q5YFR8;Q68J65;Q69F36;Q6DUZ2;Q6DUZ3;Q6R008;Q6S4P5;Q6S9F0;Q6TGB3;Q6V7J4;Q6W5G5;Q6W5G6;Q6W5G7;Q6W5G9;Q7T2K8;Q800Q2;Q804Q6;Q8AYH0;Q8CGK8;Q8QHL0;Q8WNW9;Q90WH6;Q90WV1;Q90X52;Q95L13;Q9DDZ4;Q9H2M1;Q9H2M2;Q9I984;Q9TUX3","58","Non-peptide"
"1002","2-arachidonylglycerol","P47936","1","Non-peptide"
"1003","5-alpha-Dihydroprogesterone","Q9GLW0;P07812;P06401;P79373;Q00175;P06186;Q8AYI2;Q63449;Q28590;Q6Q6S5;Q8NG42;Q8NG43;Q8NG44;Q8TDS3;Q8UVY3","15","Non-peptide"
"1004","17-alpha-Hydroxyprogesterone","P06401;Q8NG42;Q8NG43;Q8NG44;Q8TDS3","5","Non-peptide"
"1005","17-alpha-hydroxy-progesterone caproate","P06401;P06186;P59667","3","Non-peptide"
"1006","17-Hydroxypregnenolone","Q8SQ01;O54915;Q9R1A7;Q8JIZ9;Q8QGH6;Q8SQ00;Q8SQ02","7","Non-peptide"
"1010","Aldosterone","P08235","1","Non-peptide"
"1015","Dihydrotestosterone","P10275;P15207","2","Non-peptide"
"1016","Androstenediol","Q9TT90;Q8MIK0;O97776;P10275;O97952;Q6QT55;P19091;O97775;O97960;Q9GKL7;P49699;Q7T1K4;P15207;O18925;O18928;O55065;O55066;O93244;O93245;O93497;O97607;O97608;O97622;O97667;O97684;O97900;P70048;Q13771;Q60GT9;Q60I32;Q689Y8;Q6EAL5;Q6TM07;Q76LM5;Q800S7;Q801Z1;Q801Z2;Q80XG7;Q8JH77;Q8MJ07;Q8QFV2;Q8QFV7;Q8SQ22;Q8UWB7;Q8UWB8;Q8UWF7;Q90ZC2;Q91426;Q91445;Q91698;Q95J10;Q95J36;Q95J38;Q9BE98;Q9BZG5;Q9BZG6;Q9BZG7;Q9DDJ4;Q9I8F5;Q9IA30;Q9NUA2;Q9PUL1;Q9PWG5;Q9UD95;Q9UKJ6;Q9UN21;Q9W6F4;Q9XS80;Q9YGV9","69","Non-peptide"
"1017","Androstenedione","Q9TT90;Q8MIK0;O97776;P10275;O97952;Q6QT55;P19091;O97775;O97960;Q9GKL7;P49699;Q7T1K4;P15207;O18925;O18928;O55065;O55066;O93244;O93245;O93497;O97607;O97608;O97622;O97667;O97684;O97900;P70048;Q13771;Q60GT9;Q60I32;Q689Y8;Q6EAL5;Q6TM07;Q76LM5;Q800S7;Q801Z1;Q801Z2;Q80XG7;Q8JH77;Q8MJ07;Q8QFV2;Q8QFV7;Q8SQ22;Q8UWB7;Q8UWB8;Q8UWF7;Q90ZC2;Q91426;Q91445;Q91698;Q95J10;Q95J36;Q95J38;Q9BE98;Q9BZG5;Q9BZG6;Q9BZG7;Q9DDJ4;Q9I8F5;Q9IA30;Q9NUA2;Q9PUL1;Q9PWG5;Q9UD95;Q9UKJ6;Q9UN21;Q9W6F4;Q9XS80;Q9YGV9","69","Non-peptide"
